"","month","town","flat_type","block","street_name","storey_range","floor_area_sqm","flat_model","lease_commence_date","remaining_lease","resale_price","year","months","address","lon","lat"
"1","2017-01","JURONG WEST","2 ROOM","990A","JURONG WEST ST 93","01 TO 03",56,"Premium Apartment",2008,90.58,240000,90,7,"990A JURONG WEST ST 93",103.695117,1.3353399
"2","2017-01","JURONG WEST","3 ROOM","421","JURONG WEST ST 42","07 TO 09",64,"Simplified",1985,67.42,269000,67,5,"421 JURONG WEST ST 42",103.727223,1.3502664
"3","2017-01","JURONG WEST","EXECUTIVE","274A","JURONG WEST AVE 3","04 TO 06",126,"Apartment",2001,83.92,438000,83,11,"274A JURONG WEST AVE 3",103.7036002,1.3523739
"4","2017-04","JURONG WEST","5 ROOM","517C","JURONG WEST ST 52","04 TO 06",115,"Improved",2000,82.17,591000,82,2,"517C JURONG WEST ST 52",103.7200927,1.3450075
"5","2019-03","WOODLANDS","5 ROOM","625B","WOODLANDS DR 52","10 TO 12",122,"Improved",1998,78.58,435000,78,7,"625B WOODLANDS DR 52",103.800003,1.433428
"6","2019-03","WOODLANDS","5 ROOM","555","WOODLANDS DR 53","07 TO 09",115,"Improved",1999,79.83,380000,79,10,"555 WOODLANDS DR 53",103.7956809,1.4323271
"7","2019-03","WOODLANDS","5 ROOM","682A","WOODLANDS DR 62","01 TO 03",120,"Premium Apartment",2000,79.92,390000,79,11,"682A WOODLANDS DR 62",103.8033582,1.4402305
"8","2019-03","WOODLANDS","5 ROOM","710","WOODLANDS DR 70","04 TO 06",118,"Improved",1997,77,398000,77,0,"710 WOODLANDS DR 70",103.797492,1.4407566
"9","2019-03","WOODLANDS","5 ROOM","673","WOODLANDS DR 71","04 TO 06",110,"Improved",2000,80.33,420000,80,4,"673 WOODLANDS DR 71",103.7999822,1.4391631
"10","2019-03","WOODLANDS","5 ROOM","686A","WOODLANDS DR 73","01 TO 03",115,"Premium Apartment",2003,83,355000,83,0,"686A WOODLANDS DR 73",103.8055513,1.4421015
"11","2019-03","WOODLANDS","5 ROOM","685B","WOODLANDS DR 73","10 TO 12",114,"Premium Apartment",2002,82.75,440000,82,9,"685B WOODLANDS DR 73",103.8060946,1.4413641
"12","2019-03","WOODLANDS","5 ROOM","686A","WOODLANDS DR 73","10 TO 12",114,"Premium Apartment",2003,82.92,418000,82,11,"686A WOODLANDS DR 73",103.8055513,1.4421015
"13","2019-03","WOODLANDS","5 ROOM","690D","WOODLANDS DR 75","01 TO 03",110,"Premium Apartment",2004,83.92,375000,83,11,"690D WOODLANDS DR 75",103.8078984,1.4425959
"14","2019-03","WOODLANDS","5 ROOM","688E","WOODLANDS DR 75","13 TO 15",111,"Premium Apartment",2004,84,393000,84,0,"688E WOODLANDS DR 75",103.8079058,1.4438487
"15","2017-04","JURONG WEST","EXECUTIVE","161","YUNG PING RD","04 TO 06",147,"Apartment",1997,78.75,450000,78,9,"161 YUNG PING RD",103.7218801,1.3302937
"16","2019-03","WOODLANDS","5 ROOM","687A","WOODLANDS DR 75","04 TO 06",115,"Premium Apartment",2003,82.83,382000,82,10,"687A WOODLANDS DR 75",103.8072719,1.4410632
"17","2019-03","WOODLANDS","5 ROOM","690A","WOODLANDS DR 75","04 TO 06",110,"Premium Apartment",2004,83.92,370000,83,11,"690A WOODLANDS DR 75",103.8083586,1.4436256
"18","2019-03","WOODLANDS","5 ROOM","628B","WOODLANDS RING RD","01 TO 03",122,"Improved",1998,78.58,3e+05,78,7,"628B WOODLANDS RING RD",103.8005255,1.4341688
"19","2019-03","WOODLANDS","5 ROOM","606","WOODLANDS RING RD","04 TO 06",122,"Improved",1998,77.92,420000,77,11,"606 WOODLANDS RING RD",103.7970166,1.4367042
"20","2019-03","WOODLANDS","5 ROOM","659","WOODLANDS RING RD","10 TO 12",122,"Improved",1998,77.92,415000,77,11,"659 WOODLANDS RING RD",103.7990313,1.4361964
"21","2019-03","WOODLANDS","5 ROOM","628B","WOODLANDS RING RD","07 TO 09",122,"Improved",1998,78.58,420000,78,7,"628B WOODLANDS RING RD",103.8005255,1.4341688
